,region/country/area,year,series,type,tourism_arrivals_series_type,value,footnotes,continent
46,Anguilla,1995,Tourist/visitor arrivals (thousands),Tourism,TF,39.0,Excluding nationals residing abroad.,Americas
47,Anguilla,2005,Tourist/visitor arrivals (thousands),Tourism,TF,62.0,Excluding nationals residing abroad.,Americas
48,Anguilla,2010,Tourist/visitor arrivals (thousands),Tourism,TF,62.0,Excluding nationals residing abroad.,Americas
49,Anguilla,2020,Tourist/visitor arrivals (thousands),Tourism,TF,25.0,Excluding nationals residing abroad.,Americas
50,Anguilla,2021,Tourist/visitor arrivals (thousands),Tourism,TF,28.0,Excluding nationals residing abroad.,Americas
51,Anguilla,2022,Tourist/visitor arrivals (thousands),Tourism,TF,74.0,Excluding nationals residing abroad.,Americas
52,Anguilla,1995,Tourism expenditure (millions of US dollars),Tourism,TE,50.0,Excluding passenger transport.,Americas
53,Anguilla,2005,Tourism expenditure (millions of US dollars),Tourism,TE,86.0,Excluding passenger transport.,Americas
54,Anguilla,2010,Tourism expenditure (millions of US dollars),Tourism,TE,99.0,Excluding passenger transport.,Americas
55,Anguilla,2020,Tourism expenditure (millions of US dollars),Tourism,TE,48.0,Excluding passenger transport.,Americas
56,Anguilla,2021,Tourism expenditure (millions of US dollars),Tourism,TE,59.0,Excluding passenger transport.,Americas
57,Anguilla,2022,Tourism expenditure (millions of US dollars),Tourism,TE,134.0,Excluding passenger transport.,Americas
58,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),Tourism,TF,220.0,Excluding nationals residing abroad.;Arrivals by air.,Americas
59,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),Tourism,TF,245.0,Excluding nationals residing abroad.;Arrivals by air.,Americas
60,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),Tourism,TF,230.0,Excluding nationals residing abroad.;Arrivals by air.,Americas
61,Antigua and Barbuda,2020,Tourist/visitor arrivals (thousands),Tourism,TF,125.0,Excluding nationals residing abroad.;Arrivals by air.,Americas
62,Antigua and Barbuda,2021,Tourist/visitor arrivals (thousands),Tourism,TF,169.0,Excluding nationals residing abroad.;Arrivals by air.,Americas
63,Antigua and Barbuda,2022,Tourist/visitor arrivals (thousands),Tourism,TF,265.0,Excluding nationals residing abroad.;Arrivals by air.,Americas
64,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),Tourism,TE,247.0,Excluding passenger transport.,Americas
65,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),Tourism,TE,309.0,Excluding passenger transport.,Americas
66,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),Tourism,TE,298.0,Excluding passenger transport.,Americas
67,Antigua and Barbuda,2020,Tourism expenditure (millions of US dollars),Tourism,TE,412.0,Excluding passenger transport.,Americas
68,Antigua and Barbuda,2021,Tourism expenditure (millions of US dollars),Tourism,TE,539.0,Excluding passenger transport.,Americas
69,Antigua and Barbuda,2022,Tourism expenditure (millions of US dollars),Tourism,TE,773.0,Excluding passenger transport.,Americas
70,Argentina,1995,Tourist/visitor arrivals (thousands),Tourism,TF,2289.0,,Americas
71,Argentina,2005,Tourist/visitor arrivals (thousands),Tourism,TF,3823.0,,Americas
72,Argentina,2010,Tourist/visitor arrivals (thousands),Tourism,TF,6800.0,Break in the time series.,Americas
73,Argentina,2020,Tourist/visitor arrivals (thousands),Tourism,TF,2090.0,,Americas
74,Argentina,2021,Tourist/visitor arrivals (thousands),Tourism,TF,297.0,,Americas
75,Argentina,2022,Tourist/visitor arrivals (thousands),Tourism,TF,3890.0,,Americas
76,Argentina,1995,Tourism expenditure (millions of US dollars),Tourism,TE,2550.0,,Americas
77,Argentina,2005,Tourism expenditure (millions of US dollars),Tourism,TE,3209.0,,Americas
78,Argentina,2010,Tourism expenditure (millions of US dollars),Tourism,TE,5605.0,,Americas
79,Argentina,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1793.0,,Americas
80,Argentina,2021,Tourism expenditure (millions of US dollars),Tourism,TE,433.0,,Americas
81,Argentina,2022,Tourism expenditure (millions of US dollars),Tourism,TE,3694.0,,Americas
82,Armenia,1995,Tourist/visitor arrivals (thousands),Tourism,TF,12.0,,Europe
83,Armenia,2005,Tourist/visitor arrivals (thousands),Tourism,TF,319.0,,Europe
84,Armenia,2010,Tourist/visitor arrivals (thousands),Tourism,TF,684.0,,Europe
85,Armenia,2020,Tourist/visitor arrivals (thousands),Tourism,TF,375.0,,Europe
86,Armenia,2021,Tourist/visitor arrivals (thousands),Tourism,TF,870.0,,Europe
87,Armenia,2022,Tourist/visitor arrivals (thousands),Tourism,TF,1666.0,,Europe
88,Armenia,1995,Tourism expenditure (millions of US dollars),Tourism,TE,14.0,,Europe
89,Armenia,2005,Tourism expenditure (millions of US dollars),Tourism,TE,243.0,,Europe
90,Armenia,2010,Tourism expenditure (millions of US dollars),Tourism,TE,694.0,,Europe
91,Armenia,2020,Tourism expenditure (millions of US dollars),Tourism,TE,297.0,,Europe
92,Armenia,2021,Tourism expenditure (millions of US dollars),Tourism,TE,813.0,,Europe
93,Armenia,2022,Tourism expenditure (millions of US dollars),Tourism,TE,2513.0,,Europe
94,Aruba,1995,Tourist/visitor arrivals (thousands),Tourism,TF,619.0,Arrivals by air.,Americas
95,Aruba,2005,Tourist/visitor arrivals (thousands),Tourism,TF,733.0,Arrivals by air.,Americas
96,Aruba,2010,Tourist/visitor arrivals (thousands),Tourism,TF,824.0,Arrivals by air.,Americas
97,Aruba,2020,Tourist/visitor arrivals (thousands),Tourism,TF,368.0,Arrivals by air.,Americas
98,Aruba,2021,Tourist/visitor arrivals (thousands),Tourism,TF,807.0,Arrivals by air.,Americas
99,Aruba,2022,Tourist/visitor arrivals (thousands),Tourism,TF,1101.0,Arrivals by air.,Americas
100,Aruba,1995,Tourism expenditure (millions of US dollars),Tourism,TE,554.0,,Americas
101,Aruba,2005,Tourism expenditure (millions of US dollars),Tourism,TE,1097.0,,Americas
102,Aruba,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1254.0,,Americas
103,Aruba,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1079.0,,Americas
104,Aruba,2021,Tourism expenditure (millions of US dollars),Tourism,TE,1788.0,,Americas
105,Aruba,2022,Tourism expenditure (millions of US dollars),Tourism,TE,2305.0,,Americas
106,Australia,1995,Tourist/visitor arrivals (thousands),Tourism,VF,3726.0,Excluding nationals residing abroad and crew members.,Oceania
107,Australia,2005,Tourist/visitor arrivals (thousands),Tourism,VF,5499.0,Excluding nationals residing abroad and crew members.,Oceania
108,Australia,2010,Tourist/visitor arrivals (thousands),Tourism,VF,5790.0,Excluding nationals residing abroad and crew members.,Oceania
109,Australia,2020,Tourist/visitor arrivals (thousands),Tourism,VF,1828.0,Excluding nationals residing abroad and crew members.,Oceania
110,Australia,2021,Tourist/visitor arrivals (thousands),Tourism,VF,246.0,Excluding nationals residing abroad and crew members.,Oceania
111,Australia,2022,Tourist/visitor arrivals (thousands),Tourism,VF,3694.0,Excluding nationals residing abroad and crew members.,Oceania
112,Australia,1995,Tourism expenditure (millions of US dollars),Tourism,TE,10370.0,,Oceania
113,Australia,2005,Tourism expenditure (millions of US dollars),Tourism,TE,19719.0,,Oceania
114,Australia,2010,Tourism expenditure (millions of US dollars),Tourism,TE,31064.0,,Oceania
115,Australia,2020,Tourism expenditure (millions of US dollars),Tourism,TE,26235.0,,Oceania
116,Australia,2021,Tourism expenditure (millions of US dollars),Tourism,TE,17132.0,,Oceania
117,Australia,2022,Tourism expenditure (millions of US dollars),Tourism,TE,24214.0,,Oceania
118,Austria,1995,Tourist/visitor arrivals (thousands),Tourism,TCE,17173.0,Only paid accommodation; excluding stays at friends and relatives and second homes.,Europe
119,Austria,2005,Tourist/visitor arrivals (thousands),Tourism,TCE,19952.0,Only paid accommodation; excluding stays at friends and relatives and second homes.,Europe
120,Austria,2010,Tourist/visitor arrivals (thousands),Tourism,TCE,22004.0,Only paid accommodation; excluding stays at friends and relatives and second homes.,Europe
121,Austria,2020,Tourist/visitor arrivals (thousands),Tourism,TCE,15091.0,Only paid accommodation; excluding stays at friends and relatives and second homes.,Europe
122,Austria,2021,Tourist/visitor arrivals (thousands),Tourism,TCE,12728.0,Only paid accommodation; excluding stays at friends and relatives and second homes.,Europe
123,Austria,2022,Tourist/visitor arrivals (thousands),Tourism,TCE,26215.0,Only paid accommodation; excluding stays at friends and relatives and second homes.,Europe
124,Austria,1995,Tourism expenditure (millions of US dollars),Tourism,TE,13435.0,Excluding passenger transport.,Europe
125,Austria,2005,Tourism expenditure (millions of US dollars),Tourism,TE,16243.0,Excluding passenger transport.,Europe
126,Austria,2010,Tourism expenditure (millions of US dollars),Tourism,TE,18751.0,Excluding passenger transport.,Europe
127,Austria,2020,Tourism expenditure (millions of US dollars),Tourism,TE,13706.0,Excluding passenger transport.,Europe
128,Austria,2021,Tourism expenditure (millions of US dollars),Tourism,TE,9841.0,Excluding passenger transport.,Europe
129,Austria,2022,Tourism expenditure (millions of US dollars),Tourism,TE,19175.0,Excluding passenger transport.,Europe
130,Azerbaijan,2005,Tourist/visitor arrivals (thousands),Tourism,TF,693.0,,Europe
131,Azerbaijan,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1280.0,,Europe
132,Azerbaijan,2020,Tourist/visitor arrivals (thousands),Tourism,TF,587.0,,Europe
133,Azerbaijan,2022,Tourist/visitor arrivals (thousands),Tourism,TF,1508.0,,Europe
134,Azerbaijan,1995,Tourism expenditure (millions of US dollars),Tourism,TE,87.0,,Europe
135,Azerbaijan,2005,Tourism expenditure (millions of US dollars),Tourism,TE,100.0,,Europe
136,Azerbaijan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,792.0,,Europe
137,Azerbaijan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,340.0,,Europe
138,Azerbaijan,2021,Tourism expenditure (millions of US dollars),Tourism,TE,368.0,,Europe
139,Azerbaijan,2022,Tourism expenditure (millions of US dollars),Tourism,TE,942.0,,Europe
140,Bahamas,1995,Tourist/visitor arrivals (thousands),Tourism,TF,1598.0,,Americas
141,Bahamas,2005,Tourist/visitor arrivals (thousands),Tourism,TF,1625.0,,Americas
142,Bahamas,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1378.0,,Americas
143,Bahamas,2020,Tourist/visitor arrivals (thousands),Tourism,TF,441.0,,Americas
144,Bahamas,2021,Tourist/visitor arrivals (thousands),Tourism,TF,892.0,,Americas
145,Bahamas,2022,Tourist/visitor arrivals (thousands),Tourism,TF,1452.0,,Americas
146,Bahamas,1995,Tourism expenditure (millions of US dollars),Tourism,TE,1356.0,,Americas
147,Bahamas,2005,Tourism expenditure (millions of US dollars),Tourism,TE,2081.0,,Americas
148,Bahamas,2010,Tourism expenditure (millions of US dollars),Tourism,TE,2159.0,,Americas
149,Bahamas,2020,Tourism expenditure (millions of US dollars),Tourism,TE,972.0,,Americas
150,Bahamas,2021,Tourism expenditure (millions of US dollars),Tourism,TE,2334.0,,Americas
151,Bahamas,2022,Tourism expenditure (millions of US dollars),Tourism,TE,3524.0,,Americas
152,Bahrain,1995,Tourist/visitor arrivals (thousands),Tourism,VF,2311.0,Excluding nationals residing abroad.,Asia
153,Bahrain,2005,Tourist/visitor arrivals (thousands),Tourism,VF,6313.0,Excluding nationals residing abroad.,Asia
154,Bahrain,2010,Tourist/visitor arrivals (thousands),Tourism,VF,11952.0,Excluding nationals residing abroad.,Asia
155,Bahrain,2020,Tourist/visitor arrivals (thousands),Tourism,VF,1909.0,Break in the time series.;Excluding nationals residing abroad.,Asia
156,Bahrain,2021,Tourist/visitor arrivals (thousands),Tourism,VF,3612.0,Excluding nationals residing abroad.,Asia
157,Bahrain,2022,Tourist/visitor arrivals (thousands),Tourism,VF,9949.0,Excluding nationals residing abroad.,Asia
158,Bahrain,1995,Tourism expenditure (millions of US dollars),Tourism,TE,593.0,,Asia
159,Bahrain,2005,Tourism expenditure (millions of US dollars),Tourism,TE,1603.0,,Asia
160,Bahrain,2010,Tourism expenditure (millions of US dollars),Tourism,TE,2163.0,,Asia
161,Bahrain,2020,Tourism expenditure (millions of US dollars),Tourism,TE,724.0,,Asia
162,Bahrain,2021,Tourism expenditure (millions of US dollars),Tourism,TE,1886.0,,Asia
163,Bahrain,2022,Tourism expenditure (millions of US dollars),Tourism,TE,3886.0,,Asia
164,Bangladesh,1995,Tourist/visitor arrivals (thousands),Tourism,TF,156.0,,Asia
165,Bangladesh,2005,Tourist/visitor arrivals (thousands),Tourism,TF,208.0,,Asia
166,Bangladesh,2010,Tourist/visitor arrivals (thousands),Tourism,TF,139.0,,Asia
167,Bangladesh,2020,Tourist/visitor arrivals (thousands),Tourism,TF,182.0,,Asia
168,Bangladesh,2021,Tourist/visitor arrivals (thousands),Tourism,TF,135.0,,Asia
169,Bangladesh,2005,Tourism expenditure (millions of US dollars),Tourism,TE,82.0,,Asia
170,Bangladesh,2010,Tourism expenditure (millions of US dollars),Tourism,TE,103.0,,Asia
171,Bangladesh,2020,Tourism expenditure (millions of US dollars),Tourism,TE,218.0,,Asia
172,Bangladesh,2021,Tourism expenditure (millions of US dollars),Tourism,TE,273.0,,Asia
173,Bangladesh,2022,Tourism expenditure (millions of US dollars),Tourism,TE,420.0,,Asia
174,Barbados,1995,Tourist/visitor arrivals (thousands),Tourism,TF,442.0,,Americas
175,Barbados,2005,Tourist/visitor arrivals (thousands),Tourism,TF,548.0,,Americas
176,Barbados,2010,Tourist/visitor arrivals (thousands),Tourism,TF,532.0,,Americas
177,Barbados,2020,Tourist/visitor arrivals (thousands),Tourism,TF,207.0,,Americas
178,Barbados,2021,Tourist/visitor arrivals (thousands),Tourism,TF,145.0,,Americas
179,Barbados,2022,Tourist/visitor arrivals (thousands),Tourism,TF,540.0,,Americas
180,Barbados,1995,Tourism expenditure (millions of US dollars),Tourism,TE,628.0,,Americas
181,Barbados,2005,Tourism expenditure (millions of US dollars),Tourism,TE,905.0,,Americas
182,Barbados,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1041.0,,Americas
183,Barbados,2020,Tourism expenditure (millions of US dollars),Tourism,TE,578.0,,Americas
184,Barbados,2021,Tourism expenditure (millions of US dollars),Tourism,TE,627.0,,Americas
185,Barbados,2022,Tourism expenditure (millions of US dollars),Tourism,TE,929.0,,Americas
186,Belarus,2005,Tourist/visitor arrivals (thousands),Tourism,VF,4738.0,Excludes the Belarusian-Russian border segment.,Europe
187,Belarus,2010,Tourist/visitor arrivals (thousands),Tourism,VF,5674.0,Excludes the Belarusian-Russian border segment.,Europe
188,Belarus,2020,Tourist/visitor arrivals (thousands),Tourism,VF,3598.0,Includes estimation of the Belarusian-Russian border segment.,Europe
189,Belarus,2021,Tourist/visitor arrivals (thousands),Tourism,VF,3361.0,Includes estimation of the Belarusian-Russian border segment.,Europe
190,Belarus,2022,Tourist/visitor arrivals (thousands),Tourism,VF,4920.0,Includes estimation of the Belarusian-Russian border segment.,Europe
191,Belarus,1995,Tourism expenditure (millions of US dollars),Tourism,TE,28.0,,Europe
192,Belarus,2005,Tourism expenditure (millions of US dollars),Tourism,TE,346.0,,Europe
193,Belarus,2010,Tourism expenditure (millions of US dollars),Tourism,TE,665.0,,Europe
194,Belarus,2020,Tourism expenditure (millions of US dollars),Tourism,TE,546.0,,Europe
195,Belarus,2021,Tourism expenditure (millions of US dollars),Tourism,TE,662.0,,Europe
196,Belgium,1995,Tourist/visitor arrivals (thousands),Tourism,TCE,5560.0,,Europe
197,Belgium,2005,Tourist/visitor arrivals (thousands),Tourism,TCE,6747.0,,Europe
198,Belgium,2010,Tourist/visitor arrivals (thousands),Tourism,TCE,7186.0,,Europe
199,Belgium,2020,Tourist/visitor arrivals (thousands),Tourism,TCE,2584.0,Break in the time series.,Europe
200,Belgium,2021,Tourist/visitor arrivals (thousands),Tourism,TCE,3243.0,,Europe
201,Belgium,2022,Tourist/visitor arrivals (thousands),Tourism,TCE,8220.0,,Europe
202,Belgium,2005,Tourism expenditure (millions of US dollars),Tourism,TE,10881.0,,Europe
203,Belgium,2010,Tourism expenditure (millions of US dollars),Tourism,TE,12680.0,,Europe
204,Belgium,2020,Tourism expenditure (millions of US dollars),Tourism,TE,7227.0,,Europe
205,Belgium,2021,Tourism expenditure (millions of US dollars),Tourism,TE,7336.0,,Europe
206,Belgium,2022,Tourism expenditure (millions of US dollars),Tourism,TE,8737.0,,Europe
207,Belize,1995,Tourist/visitor arrivals (thousands),Tourism,TF,131.0,,Americas
208,Belize,2005,Tourist/visitor arrivals (thousands),Tourism,TF,237.0,,Americas
209,Belize,2010,Tourist/visitor arrivals (thousands),Tourism,TF,242.0,,Americas
210,Belize,2020,Tourist/visitor arrivals (thousands),Tourism,TF,144.0,,Americas
211,Belize,2021,Tourist/visitor arrivals (thousands),Tourism,TF,219.0,,Americas
212,Belize,2022,Tourist/visitor arrivals (thousands),Tourism,TF,373.0,,Americas
213,Belize,1995,Tourism expenditure (millions of US dollars),Tourism,TE,78.0,Excluding passenger transport.,Americas
214,Belize,2005,Tourism expenditure (millions of US dollars),Tourism,TE,214.0,Excluding passenger transport.,Americas
215,Belize,2010,Tourism expenditure (millions of US dollars),Tourism,TE,264.0,Excluding passenger transport.,Americas
216,Belize,2020,Tourism expenditure (millions of US dollars),Tourism,TE,247.0,Excluding passenger transport.,Americas
217,Belize,2021,Tourism expenditure (millions of US dollars),Tourism,TE,374.0,Excluding passenger transport.,Americas
218,Belize,2022,Tourism expenditure (millions of US dollars),Tourism,TE,599.0,Excluding passenger transport.,Americas
219,Benin,1995,Tourist/visitor arrivals (thousands),Tourism,TF,138.0,,Africa
220,Benin,2005,Tourist/visitor arrivals (thousands),Tourism,TF,176.0,,Africa
221,Benin,2010,Tourist/visitor arrivals (thousands),Tourism,TF,199.0,,Africa
222,Benin,2020,Tourist/visitor arrivals (thousands),Tourism,TF,325.0,,Africa
223,Benin,2005,Tourism expenditure (millions of US dollars),Tourism,TE,108.0,,Africa
224,Benin,2010,Tourism expenditure (millions of US dollars),Tourism,TE,149.0,,Africa
225,Benin,2020,Tourism expenditure (millions of US dollars),Tourism,TE,203.0,,Africa
226,Benin,2021,Tourism expenditure (millions of US dollars),Tourism,TE,247.0,,Africa
227,Bermuda,1995,Tourist/visitor arrivals (thousands),Tourism,TF,387.0,Arrivals by air. Excluding nationals residing abroad.,Americas
228,Bermuda,2005,Tourist/visitor arrivals (thousands),Tourism,TF,270.0,Arrivals by air. Excluding nationals residing abroad.,Americas
229,Bermuda,2010,Tourist/visitor arrivals (thousands),Tourism,TF,232.0,Arrivals by air. Excluding nationals residing abroad.,Americas
230,Bermuda,2020,Tourist/visitor arrivals (thousands),Tourism,TF,42.0,Arrivals by air. Excluding nationals residing abroad.,Americas
231,Bermuda,2021,Tourist/visitor arrivals (thousands),Tourism,TF,72.0,Arrivals by air. Excluding nationals residing abroad.,Americas
232,Bermuda,2022,Tourist/visitor arrivals (thousands),Tourism,TF,146.0,Arrivals by air. Excluding nationals residing abroad.,Americas
233,Bermuda,1995,Tourism expenditure (millions of US dollars),Tourism,TE,488.0,Excluding passenger transport.,Americas
234,Bermuda,2005,Tourism expenditure (millions of US dollars),Tourism,TE,429.0,Excluding passenger transport.,Americas
235,Bermuda,2010,Tourism expenditure (millions of US dollars),Tourism,TE,442.0,Excluding passenger transport.,Americas
236,Bermuda,2020,Tourism expenditure (millions of US dollars),Tourism,TE,94.0,Excluding passenger transport.,Americas
237,Bermuda,2021,Tourism expenditure (millions of US dollars),Tourism,TE,143.0,Excluding passenger transport.,Americas
238,Bhutan,1995,Tourist/visitor arrivals (thousands),Tourism,TF,5.0,,Asia
239,Bhutan,2005,Tourist/visitor arrivals (thousands),Tourism,TF,14.0,,Asia
240,Bhutan,2010,Tourist/visitor arrivals (thousands),Tourism,TF,41.0,Break in the time series.;Including regional high end tourists.,Asia
241,Bhutan,2020,Tourist/visitor arrivals (thousands),Tourism,TF,30.0,Including regional high end tourists.,Asia
242,Bhutan,2021,Tourist/visitor arrivals (thousands),Tourism,TF,0.0,"Including regional high end tourists.;Due to covid mandatory quarantine, only 1 tourist staying 113 nights was received.",Asia
243,Bhutan,2022,Tourist/visitor arrivals (thousands),Tourism,TF,21.0,Including regional high end tourists.,Asia
244,Bhutan,1995,Tourism expenditure (millions of US dollars),Tourism,TE,5.0,,Asia
245,Bhutan,2005,Tourism expenditure (millions of US dollars),Tourism,TE,19.0,,Asia
246,Bhutan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,64.0,,Asia
247,Bhutan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,84.0,,Asia
248,Bhutan,2021,Tourism expenditure (millions of US dollars),Tourism,TE,4.0,,Asia
249,Bhutan,2022,Tourism expenditure (millions of US dollars),Tourism,TE,0.0,,Asia
250,Bolivia (Plurin. State of),1995,Tourist/visitor arrivals (thousands),Tourism,TF,284.0,,Americas
251,Bolivia (Plurin. State of),2005,Tourist/visitor arrivals (thousands),Tourism,TF,524.0,,Americas
252,Bolivia (Plurin. State of),2010,Tourist/visitor arrivals (thousands),Tourism,TF,679.0,,Americas
253,Bolivia (Plurin. State of),2020,Tourist/visitor arrivals (thousands),Tourism,TF,323.0,,Americas
254,Bolivia (Plurin. State of),2021,Tourist/visitor arrivals (thousands),Tourism,TF,180.0,,Americas
255,Bolivia (Plurin. State of),2022,Tourist/visitor arrivals (thousands),Tourism,TF,724.0,,Americas
256,Bolivia (Plurin. State of),1995,Tourism expenditure (millions of US dollars),Tourism,TE,92.0,,Americas
257,Bolivia (Plurin. State of),2005,Tourism expenditure (millions of US dollars),Tourism,TE,345.0,,Americas
258,Bolivia (Plurin. State of),2010,Tourism expenditure (millions of US dollars),Tourism,TE,339.0,,Americas
259,Bolivia (Plurin. State of),2020,Tourism expenditure (millions of US dollars),Tourism,TE,240.0,,Americas
260,Bolivia (Plurin. State of),2021,Tourism expenditure (millions of US dollars),Tourism,TE,269.0,,Americas
261,Bolivia (Plurin. State of),2022,Tourism expenditure (millions of US dollars),Tourism,TE,706.0,,Americas
262,Bonaire,1995,Tourist/visitor arrivals (thousands),Tourism,TF,59.0,,Americas
263,Bonaire,2005,Tourist/visitor arrivals (thousands),Tourism,TF,63.0,,Americas
264,Bonaire,2010,Tourist/visitor arrivals (thousands),Tourism,TF,71.0,,Americas
265,Bonaire,1995,Tourism expenditure (millions of US dollars),Tourism,TE,37.0,Excluding passenger transport.,Americas
266,Bonaire,2005,Tourism expenditure (millions of US dollars),Tourism,TE,87.0,Excluding passenger transport.,Americas
267,Bosnia and Herzegovina,2005,Tourist/visitor arrivals (thousands),Tourism,TCE,217.0,,Europe
268,Bosnia and Herzegovina,2010,Tourist/visitor arrivals (thousands),Tourism,TCE,365.0,,Europe
269,Bosnia and Herzegovina,2020,Tourist/visitor arrivals (thousands),Tourism,TCE,197.0,,Europe
270,Bosnia and Herzegovina,2021,Tourist/visitor arrivals (thousands),Tourism,TCE,502.0,,Europe
271,Bosnia and Herzegovina,2022,Tourist/visitor arrivals (thousands),Tourism,TCE,915.0,,Europe
272,Bosnia and Herzegovina,2005,Tourism expenditure (millions of US dollars),Tourism,TE,557.0,,Europe
273,Bosnia and Herzegovina,2010,Tourism expenditure (millions of US dollars),Tourism,TE,662.0,,Europe
274,Bosnia and Herzegovina,2020,Tourism expenditure (millions of US dollars),Tourism,TE,443.0,,Europe
